SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533022,20 MICRONS  ,B ,Q,83.70,84.00,81.50,81.75,81.90,83.05,522,111811,9241930.00,
526921,21ST CEN.MGM,T ,Q,8.48,8.48,8.48,8.48,8.48,8.29,2,6,50.00,
532628,3I INFOTECH ,B ,Q,16.00,16.35,15.75,15.90,15.90,15.80,1817,999515,16073261.00,
523395,3M INDIA LTD,B ,Q,4241.00,4314.95,4200.00,4254.25,4300.00,4246.20,189,501,2139500.00,
961743,793REC22    ,F ,B,986.00,989.00,986.00,988.55,988.55,986.00,35,2855,2820764.00,
961732,810IRFC2327 ,F ,B,1002.73,1002.73,999.70,1000.97,1001.50,1001.09,38,19165,19210347.00,
961744,812REC27    ,F ,B,979.85,980.00,978.00,979.32,979.89,976.45,214,47763,46777224.00,
961727,820NHAI22   ,F ,B,1030.00,1030.00,1028.90,1029.10,1029.25,1028.45,32,4735,4872854.00,
961729,820PFC2022  ,F ,B,1017.00,1022.00,1016.00,1021.88,1018.10,1013.98,36,592,603346.00,
961728,830NHAI27   ,F ,B,1031.55,1036.50,1031.55,1036.03,1036.00,1035.00,24,9180,9508942.00,
961730,830PFC2027  ,F ,B,1019.50,1021.00,1019.00,1020.84,1020.11,1018.09,65,21273,21717256.00,
961731,8IRFC230222 ,F ,B,1005.05,1013.00,1005.05,1011.87,1012.00,1006.69,5,250,252590.00,
512161,8KMILES     ,T ,Q,59.70,59.70,54.60,54.65,55.00,57.00,22,3076,169390.00,
530499,A.K.CAPITAL ,B ,Q,159.25,161.10,155.05,158.70,157.00,161.15,204,24264,3866463.00,
500009,A.SARABHAI  ,B ,Q,4.30,4.30,4.05,4.07,4.05,4.39,15,3901,16551.00,
533292,A2ZMES      ,B ,Q,108.20,118.75,108.20,115.90,115.90,119.10,2616,150495,17519905.00,
530027,AADI INDUS L,B ,Q,5.45,5.55,5.17,5.25,5.42,5.38,46,17092,91895.00,
533412,AANJANEYA   ,B ,Q,527.70,527.70,505.00,510.20,510.20,524.10,182,2546,1313912.00,
524412,AAREY DRUGS ,B ,Q,14.95,15.25,14.50,15.00,15.00,14.47,23,5380,80431.00,
524348,AARTI DRUGS ,B ,Q,104.50,113.65,104.50,108.15,108.00,105.65,138,2512,273616.00,
524208,AARTI INDUST,B ,Q,64.10,66.30,63.85,64.70,64.90,62.85,951,87452,5702025.00,
514274,AARVEE DENIM,B ,Q,35.95,35.95,34.50,35.70,35.70,35.95,6,251,8900.00,
523204,ABAN OFFSHO ,B ,Q,428.40,433.80,425.00,427.30,427.30,433.70,3818,129466,55597080.00,
700099,ABANOFFSH   ,B ,P,519.60,519.60,346.45,519.60,519.60,433.00,3,20,9526.00,
500002,ABB LTD.    ,A ,Q,817.50,831.85,810.30,822.85,822.85,814.40,578,7607,6242758.00,
500488,ABBOTT (I)  ,B ,Q,1610.25,1620.00,1585.00,1609.20,1619.00,1599.15,329,3815,6141670.00,
