SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
530027,AADI INDUS L,B ,Q,5.45,5.55,5.17,5.25,5.42,5.38,46,17092,91895,
533412,AANJANEYA   ,B ,Q,527.7,527.7,505,510.2,510.2,524.1,182,2546,1313912,
524412,AAREY DRUGS ,B ,Q,14.95,15.25,14.5,15,15,14.47,23,5380,80431,
524348,AARTI DRUGS ,B ,Q,104.5,113.65,104.5,108.15,108,105.65,138,2512,273616,
524208,AARTI INDUST,B ,Q,64.1,66.3,63.85,64.7,64.9,62.85,951,87452,5702025,
514274,AARVEE DENIM,B ,Q,35.95,35.95,34.5,35.7,35.7,35.95,6,251,8900,
523204,ABAN OFFSHO ,B ,Q,428.4,433.8,425,427.3,427.3,433.7,3818,129466,55597080,
700099,ABANOFFSH   ,B ,P,519.6,519.6,346.45,519.6,519.6,433,3,20,9526,
500002,ABB LTD.    ,A ,Q,817.5,831.85,810.3,822.85,822.85,814.4,578,7607,6242758,
500488,ABBOTT (I)  ,B ,Q,1610.25,1620,1585,1609.2,1619,1599.15,329,3815,6141670,
520123,ABC INDIA   ,B ,Q,124,125,124,124.95,125,122,2,105,13120,
532937,ABC PAPER   ,T ,Q,27.1,28.85,27,27.55,27.55,27.5,9,788,21569,
500057,ABCIL       ,B ,Q,83,83,80,80.05,80.1,82.9,126,958,77488,
520155,ABG INFRALOG,B ,Q,198,198,198,198,198,200.9,1,10,1980,
532682,ABG SHIPYARD,B ,Q,391.45,393.5,388.2,391.1,391.1,394.55,217,2044,799575,
532831,ABHI CORP LT,B ,Q,8.05,8.05,7.75,7.92,8,8,9,1413,11290,
531161,ABM KNOWLEDG,B ,Q,82,83.65,78,83.45,83.45,81.05,21,1412,113743,
532974,ABML        ,B ,Q,14.25,14.25,14.22,14.22,14.22,14.2,2,200,2847,
500410,ACC LTD     ,A ,Q,1283,1286.5,1221.85,1236.65,1236.65,1300.8,4735,73118,91173066,
532774,ACCEL FRONTL,B ,Q,35.4,35.4,35.4,35.4,35.4,35.2,1,100,3540,
517494,ACCEL TRANS ,B ,Q,10.1,10.5,10,10.26,10.49,11,14,1798,18278,
531897,ACCENT TECH ,B ,Q,69.7,69.7,68,68.15,68,68.55,42,7452,512197,
530093,ACE INDIA LT,B ,Q,19.05,19.2,19.05,19.2,19.15,20,10,153,2923,
531525,ACE SOFTWARE,T ,Q,10.5,10.55,10.5,10.55,10.55,10.05,2,11,116,
517356,ACI INFOCOM ,T ,Q,77.3,83.9,77.3,82.9,82.9,81.15,11,673,55466,
530901,ACIL        ,B ,Q,0.32,0.32,0.3,0.32,0.32,0.31,23,49960,15583,
530043,ACKNIT IND  ,B ,Q,23.8,25.95,23.8,25.95,25.95,25.05,19,806,19376,
533330,ACROPET TEC ,B ,Q,14.11,14.5,14.1,14.22,14.25,14.16,171,21913,312058,
513149,ACROW INDIA ,B ,Q,134.4,134.4,134.4,134.4,134.4,128.5,1,1,134,
524091,ACRYCIL LTD.,B ,Q,97,97,95.1,96.5,96.5,95.85,4,289,27903,
532762,ACTION CONST,B ,Q,31.25,31.8,31.05,31.3,31.3,31.3,91,4709,147766,
511706,ACTION FIN. ,T ,Q,37,38.75,36.05,37.45,38.75,37.85,4,310,11562,
512599,ADANI ENTER ,A ,Q,313,319.2,304,307.45,307.45,315.85,4738,234556,73422347,
532921,ADANI PORTS ,A ,Q,131,133.35,125.65,127.3,127.3,132,1597,97384,12643379,
533096,ADANI POWER ,A ,Q,71.8,72.9,69.9,70.9,70.9,72.5,5417,854213,61110048,
